Id,UpVotes,DownVotes
"268127","46","2"
"268131","0","0"
"268133","0","0"
"268136","0","0"
"268137","3","0"
"268139","0","0"
"268144","0","0"
"268146","20","0"
"268147","4","0"
"268148","62","0"
"268151","42","3"
"268153","50","0"
"268154","56","2"
"268156","15","1"
"268161","36","0"
"268163","0","0"
"268165","60","0"
"268166","0","0"
"268167","95","5"
"268171","0","0"
"268173","0","0"
"268175","0","0"
"268176","4","0"
"268180","0","0"
"268182","73","0"
"268183","0","0"
"268184","0","0"
"268186","8","0"
"268188","0","0"
"268193","38","5"
"268194","6","0"
"268195","1","0"
"268196","0","0"
"269161","0","0"
"269168","66","3"
"269171","106","10"
"269172","0","0"
"269174","206","0"
"269175","6","0"
"269176","0","0"
"269177","121","1"
"269178","0","0"
"269179","23","0"
"269180","0","0"
"269181","59","4"
"269185","2","0"
"269186","4","0"
"269188","0","0"
"269189","3","0"
"269190","0","0"
"269191","0","0"
"269192","10","0"
"269194","110","4"
"269196","100","6"
"269198","0","0"
"269199","11","0"
"269200","0","0"
"269202","5","0"
"269203","40","0"
"269205","0","0"
"269210","0","0"
"269211","483","57"
"269212","0","0"
"269213","0","0"
"269217","0","0"
"279482","151","24"
"279484","0","0"
"279487","0","0"
"279488","0","0"
"279489","0","0"
"279490","0","0"
"279493","0","0"
"279494","0","0"
"279495","0","0"
"279497","98","4"
"279503","0","0"
"279505","0","0"
"279506","0","0"
"279507","0","0"
"279509","0","0"
"279510","0","0"
"279511","192","86"
"279512","0","0"
"279513","0","0"
"279514","0","0"
"279516","1427","490"
"279518","0","0"
"279519","0","0"
"279520","0","0"
"279521","3686","24"
"279527","1","0"
"279528","0","0"
"279529","0","0"
"279530","0","0"
"279531","21","11"
"279533","0","0"
"279535","29","0"
"279538","53","3"
"279539","29","1"
"279541","0","0"
"279542","0","0"
"279544","0","0"
"279545","3","0"
"279546","0","0"
"279549","38","0"
"279550","0","0"
"279551","0","0"
"279552","0","0"
"279553","0","0"
"279554","86","6"
"279555","0","0"
"279557","0","0"
"279558","186","6"
"279559","0","0"
"279560","73","1"
"279562","5","0"
"279564","317","1"
"279565","8","0"
"279566","110","10"
"279568","0","0"
"279570","0","0"
"279573","183","7"
"279844","55","7"
"279845","6","0"
"279846","0","0"
"279847","0","0"
"279848","28","2"
"279849","0","0"
"279851","0","0"
"279855","41","0"
"279856","0","0"
"279857","0","0"
"279858","991","36"
"279859","0","0"
"279860","8","0"
"279862","0","0"
"279864","0","0"
"279865","0","0"
"279866","0","0"
"279867","0","0"
"279869","0","0"
"279870","0","0"
"279871","13","1"
"279872","14","0"
"279873","0","0"
"279874","2","0"
"279875","0","0"
"279876","7","0"
"279878","0","0"
"279879","0","0"
"279880","0","0"
"279881","7","0"
"279883","7","0"
"279884","0","0"
"279885","0","0"
"279886","0","0"
"279889","0","0"
"279890","10","0"
"279891","0","0"
"279892","0","0"
"279894","0","0"
"279895","0","0"
"279900","0","0"
"279902","26","0"
"279903","176","0"
"279904","0","0"
"279905","0","0"
"279906","91","4"
"279907","0","0"
"279908","65","0"
"279909","0","0"
"279911","411","34"
"279912","0","0"
"279915","0","0"
"279918","1","0"
"279920","0","0"
"279921","0","0"
"279922","3","0"
"279923","0","0"
"306295","150","11"
"306296","7","0"
"306297","23","2"
"306298","0","0"
"306300","0","0"
"306301","0","0"
"306302","0","0"
"306304","0","0"
"306305","2","0"
"306306","0","0"
"306307","0","0"
"306308","0","0"
"306310","0","0"
"306311","1","0"
"306312","61","3"
"306313","0","0"
"306316","47","0"
"306320","102","30"
"306321","0","0"
"306322","58","0"
"306323","387","64"
"306324","0","0"
"306325","0","0"
"306327","0","0"
"306329","0","0"
"306330","30","0"
"306331","0","0"
"306332","0","0"
"306334","9","0"
"306336","0","0"
"306337","24","0"
"306338","1","0"
"306339","13","0"
"306341","0","0"
"306342","0","0"
"306344","0","0"
"306345","0","0"
"306346","439","5"
"312783","0","0"
"312785","567","15"
"312787","0","0"
"312788","0","0"
"312789","0","0"
"312790","0","0"
"312794","0","0"
"312795","92","0"
"312796","0","0"
"312798","0","0"
"312799","0","0"
"312800","0","0"
"312801","0","0"
"312802","15","0"
"312804","2","0"
"312805","0","0"
"312806","0","0"
"312807","50","3"
"312808","239","1"
"312809","0","0"
"312810","0","0"
"312811","22","0"
"312812","2","0"
"312813","0","0"
"312814","71","2"
"312815","33","0"
"312816","0","0"
"312817","3","0"
"312818","0","0"
"312819","0","0"
"312820","0","0"
"312821","7","0"
"312822","0","0"
"312823","0","0"
"312826","53","0"
"312827","6","0"
"312828","0","0"
"312829","0","0"
"312830","0","0"
"312832","0","0"
"312833","23","0"
"312834","0","0"
"312835","0","0"
"312836","0","0"
"312837","3","0"
"312838","0","0"
"312840","0","0"
"312841","13","1"
"312842","20","0"
"312844","2","0"
"312846","0","0"
"312847","52","1"
"312848","0","0"
"312849","0","0"
"312851","0","0"
"312852","0","0"
"312853","132","10"
"312854","2","0"
"312856","8","0"
"312858","0","0"
"312860","0","0"
"312861","0","0"
"312862","0","0"
"312864","25","0"
"312866","0","0"
"312867","10","1"
"314458","0","0"
"314462","0","0"
"314463","0","0"
"314464","0","0"
"314466","0","0"
"314468","0","0"
"314472","63","2"
"314473","0","0"
"314478","0","0"
"314479","43","0"
"314480","0","0"
"314481","30","4"
"314483","0","0"
"314488","2614","560"
"314491","0","0"
"314497","0","0"
"314501","0","0"
"314502","0","0"
"314503","105","5"
"314504","0","0"
"314505","17","0"
"314506","0","0"
"314507","152","4"
"314508","50","0"
"314509","25","1"
"314510","0","0"
"318467","25","0"
"318469","1","0"
"318470","0","0"
"318473","0","0"
"318475","0","0"
"318476","0","0"
"318477","0","0"
"318479","0","0"
"318480","3","0"
"318482","0","0"
"318483","136","0"
"318484","0","0"
"318485","0","0"
"318488","137","8"
"318489","33","0"
"318490","10","2"
"318492","0","0"
"318493","889","296"
"318494","0","0"
"318497","22","0"
"318499","149","5"
"318500","0","0"
"318501","118","5"
"318502","139","13"
"318503","24","0"
"318504","37","0"
"318506","62","0"
"318508","1817","212"
"318509","0","0"
"318510","0","0"
"318511","40","1"
"318512","0","0"
"327708","1","0"
"327709","0","0"
"327710","0","0"
"327711","0","0"
"327712","181","3"
"327713","0","0"
"327715","0","0"
"327720","0","0"
"327721","1","0"
"327722","0","0"
"327725","6","0"
"327727","7","0"
"327728","0","0"
"327732","0","0"
"327733","0","0"
"327734","88","0"
"327735","97","4"
"327737","61","2"
"327739","0","0"
"327741","0","0"
"327742","4","0"
"327743","0","0"
"327744","115","5"
"327745","0","0"
"327746","1","0"
"327747","0","0"
"327748","0","0"
"327750","0","0"
"327751","0","0"
"327753","0","0"
"327754","0","0"
"327755","0","0"
"327756","0","0"
"327758","0","0"
"327759","0","0"
"327760","0","0"
"327761","40","0"
"327764","0","0"
"327765","2","0"
"327769","1","0"
"327771","647","1"
"327773","6","0"
"327774","0","0"
"327775","0","0"
"327777","121","0"
"327779","0","0"
"327780","0","0"
"327782","2","0"
"327785","17","0"
"330295","0","0"
"330297","0","0"
"330299","0","0"
"330300","0","0"
"330303","0","0"
"330304","0","0"
"330305","32","2"
"330306","0","0"
"330308","0","0"
"330313","13","2"
"330315","4748","1804"
"330319","108","2"
"330320","94","0"
"330321","3","0"
"330324","0","0"
"330325","277","68"
"330328","5","0"
"330332","0","0"
"330333","0","0"
"330334","26","2"
"330335","0","0"
"330337","100","0"
"330339","0","0"
"330341","18","9"
"330342","0","0"
"330343","0","0"
"330344","0","0"
"330345","0","0"
"330346","0","0"
"330347","0","0"
"330348","0","0"
"330351","0","0"
"330352","21","0"
"330353","2","0"
"330354","0","0"
"330356","3","0"
"330360","0","0"
"330361","8","0"
"330362","0","0"
"330363","0","0"
"330364","1","0"
"330365","0","0"
"330368","1","0"
